Height [mm],Pressure [Atm]
16.8,0.76894
16.6,0.76884
16.3,0.76914
16.4,0.76774
16.5,0.76854
16.4,0.76774
16.7,0.76754
16.7,0.76764
16.7,0.76664
16.7,0.76714
16.5,0.76634
16.8,0.76694
16.6,0.76734
16.7,0.76744
16.7,0.76744
16.8,0.76794
16.8,0.76854
16.8,0.76864
16.8,0.76784
16.7,0.76864
16.7,0.76854
16.8,0.76824
16.9,0.76904
16.8,0.76864
16.7,0.76814
16.7,0.76774
16.7,0.76804
16.7,0.76794
16.6,0.76734
16.9,0.76734
17.2,0.76734
17.3,0.76784
17.2,0.76744
17.1,0.76744
17,0.76724
17.4,0.76754
17.3,0.76804
17.2,0.76874
16.8,0.76854
17.3,0.76844
17.4,0.76944
17.4,0.76944
17.1,0.76964
17.4,0.77004
17,0.76994
17,0.76984
17.2,0.76974
17.3,0.76904
17.3,0.76914
17.5,0.76944
17.3,0.76864
17.3,0.76904
17.5,0.76804
17.6,0.76774
18,0.76844
17.5,0.76804
17.4,0.76904
17.4,0.76824
17.3,0.76964
17.4,0.76914
17.4,0.77024
17.3,0.76884
17.3,0.76904
17.2,0.76934
17.2,0.76894
17.2,0.76954
16.8,0.76904
17,0.76824
17.2,0.76884
17.3,0.76894
17.3,0.76854
17.4,0.76904
17.2,0.76814
17.4,0.76834
17.4,0.76844
17.4,0.76924
17.3,0.76834
17.4,0.76854
17.3,0.76834
17.3,0.76854
16.9,0.76914
16.9,0.76924
16.7,0.76974
16.8,0.77004
16.8,0.77024
17,0.76944
17.4,0.77014
17,0.76894
16.9,0.76934
16.7,0.76864
16.7,0.76794
16.7,0.76784
16.7,0.76804
16.7,0.76844
16.8,0.76904
16.8,0.76904
16.8,0.76994
16.8,0.76904
16.6,0.76994
16.7,0.76994
16.8,0.76924
17.1,0.76904
17.3,0.76854
17.2,0.77244
17.3,0.80264
17.3,0.84194
17.7,0.86494
17.8,0.86794
18,0.86384
17.8,0.85944
17.8,0.85464
17.8,0.85024
18,0.84704
17.9,0.84394
17.9,0.84354
17.8,0.84284
17.7,0.84344
17.8,0.84374
18,0.84414
17.9,0.84484
17.8,0.84504
17.9,0.84544
17.8,0.84514
17.8,0.84584
17.7,0.84434
18,0.84424
17.9,0.84394
17.9,0.84374
17.9,0.84344
17.9,0.84334
18,0.84274
17.9,0.84304
17.9,0.84314
17.8,0.84424
17.9,0.84364
18,0.84274
17.9,0.84314
17.9,0.84364
17.8,0.84374
18,0.84334
17.9,0.84374
17.9,0.84404
17.9,0.84424
18.3,0.84374
18.1,0.84444
17.8,0.84414
17.9,0.84494
18,0.84334
18,0.84434
18.2,0.84544
18.4,0.84414
18.3,0.84374
17.9,0.84254
18,0.84294
17.9,0.84294
17.8,0.84294
17.7,0.84314
17.9,0.84354
17.8,0.84414
18,0.84314
17.9,0.84374
17.9,0.84474
17.8,0.84454
17.8,0.84464
17.8,0.84494
18,0.84384
18,0.84274
17.8,0.84244
17.9,0.84314
18.2,0.84304
18.4,0.84374
18.5,0.84284
18.5,0.84374
18.1,0.84404
18.2,0.84454
18.1,0.84534
17.9,0.84504
17.9,0.84424
18.2,0.84454
17.8,0.84424
18,0.84414
17.8,0.84424
17.9,0.84424
17.9,0.84484
18,0.84364
18,0.84374
17.8,0.84414
18.1,0.84294
18.3,0.84394
18.4,0.84424
18.4,0.84344
18.6,0.84384
18.6,0.84404
18.5,0.84334
18.4,0.84354
18.4,0.84404
18.4,0.84484
18.4,0.84414
18.3,0.84414
18.3,0.84474
18.3,0.84434
18.5,0.84494
18.4,0.84554
18.4,0.84534
18.5,0.84434
18.6,0.84574
18.5,0.84544
18.4,0.84564
18.5,0.84514
18.4,0.84494
18.5,0.84604
18.5,0.84494
18.5,0.84584
18.5,0.84474
18.5,0.84484
18.5,0.84404
18.4,0.84454
18.4,0.84384
18.6,0.84434
18.5,0.84294
18.4,0.84354
18.4,0.84364
18.5,0.84354
18.5,0.84284
18.4,0.84354
18.5,0.84384
18.2,0.84484
18.5,0.84554
18.3,0.84524
18.6,0.84544
18.5,0.84504
18.5,0.84454
18.5,0.84424
18.5,0.84344
18.5,0.84354
18.5,0.84354
18.4,0.84284
18.2,0.84394
18.5,0.84354
18.6,0.84414
18.5,0.84444
18.4,0.84444
18.5,0.84414
18.6,0.84374
18.5,0.84404
18.5,0.84424
18.5,0.84434
18.5,0.84494
18.4,0.84404
18.5,0.84394
18.6,0.84444
18.4,0.84384
18.6,0.84404
18.6,0.84404
18.4,0.84334
18.5,0.84384
18.2,0.85974
18.3,0.89954
18.3,0.93274
18.4,0.94404
18.3,0.94144
18.4,0.93554
18.5,0.93144
18.4,0.92694
18.6,0.92324
18.3,0.91944
18.6,0.91774
18.5,0.91884
18.9,0.91824
18.6,0.91964
18.9,0.91934
19,0.92004
18.8,0.92074
19,0.92134
19.1,0.91944
19,0.92004
19.1,0.91984
19.2,0.92004
19,0.91954
19,0.92034
19,0.91914
19.1,0.91914
19,0.91924
19.1,0.91824
19.1,0.91924
19.1,0.91944
19.2,0.91944
19.3,0.91944
19.2,0.91914
19,0.91944
19.1,0.91944
19.1,0.91954
19,0.92024
19,0.91954
18.8,0.91964
18.9,0.91924
19,0.91884
19.1,0.91874
19,0.91914
19.1,0.91974
19,0.91974
18.9,0.92044
18.9,0.92024
18.9,0.92114
19,0.92074
19.1,0.91934
19,0.91934
19.2,0.91904
19.3,0.91894
19.4,0.91924
19.4,0.91824
19.3,0.91824
19.3,0.91724
19.3,0.91834
19,0.91834
19,0.91884
19.5,0.91854
19.6,0.91914
19.6,0.91984
19.6,0.91984
19.5,0.91944
19.5,0.91964
19.6,0.91934
19.4,0.91924
19.1,0.91994
19,0.91884
19,0.91974
19,0.91914
18.8,0.91894
19.1,0.91944
19.1,0.91944
19,0.91904
19.1,0.91884
19.1,0.91914
19.1,0.91934
18.8,0.91944
19,0.91934
19.4,0.91884
19.6,0.92004
19.7,0.91884
19.6,0.91904
19.6,0.91924
19.5,0.91954
19.5,0.91954
19.8,0.91864
19.7,0.91914
19.5,0.91854
19.7,0.91774
19.7,0.91874
19.7,0.91834
19.6,0.91754
19.6,0.91844
19.4,0.91944
19.7,0.91964
19.7,0.92074
19.6,0.92114
19.6,0.92044
19.6,0.91964
19.6,0.91884
19.6,0.91954
19.9,0.91844
20.1,0.91774
19.7,0.91854
19.7,0.91764
19.7,0.91724
19.5,0.91744
19.5,0.91704
19.5,0.91734
19.5,0.91814
19.6,0.91814
19.7,0.91834
19.6,0.91814
19.6,0.91814
19.7,0.91944
19.8,0.91934
20,0.91874
19.8,0.91864
20.1,0.91914
20.2,0.91784
20,0.91834
20.2,0.91724
20.2,0.91774
20.3,0.91844
20.2,0.91814
20.1,0.91944
20.3,0.91904
20.3,0.91944
20.2,0.91894
20.2,0.91964
20.1,0.92024
20.1,0.91994
20.2,0.91944
20.1,0.91934
20.2,0.91804
20.2,0.91894
20.2,0.91804
20.1,0.91884
20.2,0.91834
20,0.91844
20.1,0.91874
20.3,0.91844
20.2,0.91904
20.2,0.91854
20.1,0.91854
20.1,0.91854
20.1,0.91864
20.2,0.91964
20.3,0.91864
20.5,0.92994
20.2,0.96984
20.2,1.00564
20.2,1.02064
20.3,1.01864
20.3,1.01364
19.9,1.00864
19.7,1.00364
19.7,0.99964
19.7,0.99564
19.6,0.99264
20.1,0.99364
20.1,0.99264
20.1,0.99464
20.1,0.99364
20.1,0.99464
19.8,0.99364
20.1,0.99364
20.2,0.99364
20.2,0.99364
20.3,0.99364
20.2,0.99364
20.2,0.99364
20.5,0.99464
20.7,0.99364
20.7,0.99264
20.8,0.99164
20.9,0.99264
20.2,0.99364
20.2,0.99464
20.2,0.99464
20.2,0.99464
20.2,0.99464
20.3,0.99464
20.2,0.99464
20,0.99464
20.2,0.99464
20.2,0.99564
20.2,0.99464
20.3,0.99564
20.9,0.99464
20.8,0.99564
20.8,0.99464
20.8,0.99464
20.6,0.99364
20.7,0.99364
20.8,0.99364
20.7,0.99464
20.8,0.99364
20.5,0.99364
20.4,0.99364
20.8,0.99364
20.8,0.99464
20.8,0.99364
20.8,0.99364
21.3,0.99364
21.4,0.99364
21.2,0.99464
20.8,0.99464
20.6,0.99564
20.9,0.99464
20.7,0.99564
20.7,0.99564
20.6,0.99464
20.9,0.99464
20.7,0.99464
20.6,0.99464
20.8,0.99464
20.9,0.99464
20.8,0.99464
20.8,0.99564
21,0.99464
20.9,0.99464
20.8,0.99564
20.9,0.99464
20.7,0.99564
20.7,0.99464
20.8,0.99464
20.8,0.99364
20.9,0.99364
21.2,0.99364
21.4,0.99264
21.3,0.99364
20.9,0.99364
20.7,0.99464
21,0.99464
21.2,0.99564
21.3,0.99564
21.2,0.99464
20.8,0.99564
21.1,0.99664
20.7,0.99564
20.8,0.99564
20.7,0.99564
20.7,0.99564
20.7,0.99464
20.8,0.99564
21,0.99464
21.1,0.99364
20.9,0.99364
20.7,0.99364
20.6,0.99364
20.8,0.99364
21.1,0.99364
21.4,0.99364
21.3,0.99364
21.3,0.99364
21.4,0.99564
21.4,0.99564
21.4,0.99664
21.3,0.99564
21.1,0.99564
20.8,0.99464
20.8,0.99464
20.9,0.99364
20.8,0.99464
20.9,0.99464
20.7,0.99364
20.9,0.99364
20.7,0.99364
20.7,0.99364
20.7,0.99464
20.6,0.99564
20.8,0.99564
20.7,0.99564
20.7,0.99564
20.7,0.99464
20.8,0.99464
20.7,0.99564
21.3,0.99464
21.4,0.99464
21.4,0.99564
21.1,0.99464
21.2,0.99364
21.2,0.99464
21,0.99464
21.2,0.99564
21.4,0.99464
21.1,0.99364
21.2,0.99464
21.2,0.99464
20.9,0.99464
21.1,0.99464
21.3,0.99464
21.3,0.99364
21.2,0.99464
21.4,0.99464
21.3,0.99364
21.4,0.99564
21.4,0.99564
21.4,0.99564
21.3,0.99664
21.3,1.00664
21.4,1.04764
21.6,1.08464
21.9,1.09864
22,1.09564
22,1.09164
21.9,1.08564
22,1.08064
21.9,1.07664
21.9,1.07264
21.9,1.06964
21.9,1.06964
22,1.06864
22.4,1.06864
21.9,1.06964
21.9,1.06864
22,1.06964
22,1.06864
21.9,1.06764
21.8,1.06864
21.9,1.06764
21.9,1.06664
21.7,1.06764
22.1,1.06864
21.9,1.06864
21.8,1.06964
21.9,1.07064
21.9,1.07064
21.9,1.07064
22,1.06964
22,1.06964
21.8,1.07064
21.7,1.06864
21.9,1.06964
21.8,1.06964
22.2,1.06964
22.3,1.07064
22.2,1.07164
22.1,1.07064
22,1.07064
22.1,1.07064
22.2,1.07164
21.9,1.07064
21.7,1.07164
22,1.07064
22.5,1.06964
22.4,1.06964
22.5,1.06964
22.1,1.06864
22.2,1.06864
22.3,1.06864
22.1,1.06864
22.4,1.06864
22.5,1.06964
22.5,1.07064
22.4,1.07064
22.6,1.06964
22.6,1.07064
22.6,1.07064
22.6,1.07064
22.6,1.07164
22.5,1.07064
22.5,1.07064
22.4,1.07064
22.7,1.07064
22.7,1.07064
22.8,1.07064
22.7,1.07064
22.4,1.06964
22.4,1.07064
22.4,1.07064
22.3,1.07064
22.5,1.06964
22.6,1.07064
22.5,1.07064
22.5,1.07064
22.5,1.06964
22.4,1.06964
22.6,1.07064
22.7,1.07064
22.6,1.07064
22.6,1.07064
22.4,1.07164
22.4,1.07164
22.5,1.07164
22.5,1.07164
22.5,1.07164
22.5,1.07164
22.4,1.07164
22.6,1.07064
22.6,1.07164
22.5,1.07064
22.5,1.07164
22.5,1.06964
22.5,1.07064
22.5,1.07064
22.5,1.07064
22.5,1.07164
22.5,1.07164
22.6,1.07164
22.5,1.07064
22.4,1.07064
22.6,1.07064
22.6,1.07064
22.4,1.06964
22.5,1.06964
22.5,1.07064
22.4,1.06964
22.6,1.07064
22.4,1.07064
22.5,1.07064
22.3,1.07064
22.5,1.07064
22.5,1.07064
22.3,1.07064
22.5,1.07064
22.4,1.06964
22.5,1.07164
22.6,1.07064
22.4,1.07064
22.4,1.07164
22.5,1.07064
22.5,1.07164
22.5,1.07164
22.5,1.07164
22.4,1.07164
22.5,1.07164
22.5,1.07164
22.6,1.07164
22.5,1.07164
22.5,1.07164
22.5,1.07164
22.5,1.07064
22.6,1.07164
22.5,1.07164
22.6,1.07164
22.5,1.07264
22.5,1.07164
22.5,1.07164
22.5,1.07164
22.3,1.07064
22.2,1.07064
22.1,1.06964
22,1.07064
22.3,1.06964
22.6,1.07064
22.5,1.06964
22.5,1.07064
22.4,1.07064
22.4,1.07064
22.6,1.07164
22.4,1.07164
22.6,1.09364
22.6,1.13664
22.2,1.16764
22.4,1.17264
22.6,1.16864
22.4,1.16364
22.5,1.15864
22.6,1.15264
22.5,1.14864
22.6,1.14664
22.8,1.14564
22.9,1.14564
22.9,1.14564
22.6,1.14564
22.6,1.14564
23.2,1.14564
23.2,1.14564
23.1,1.14564
22.9,1.14564
23.2,1.14564
23.1,1.14564
23,1.14564
22.9,1.14564
23.1,1.14564
23.2,1.14664
23.2,1.14564
23.1,1.14564
23.2,1.14564
22.9,1.14564
23.1,1.14564
23,1.14564
23,1.14564
22.9,1.14464
23,1.14464
23,1.14464
23.1,1.14564
23,1.14564
23.1,1.14564
23.2,1.14464
23.2,1.14564
23,1.14464
23.2,1.14564
23.2,1.14464
23.1,1.14464
23.1,1.14464
22.7,1.14464
23.5,1.14564
23.6,1.14564
23.7,1.14464
23.6,1.14664
23.3,1.14564
23.5,1.14564
23,1.14464
23.1,1.14564
23.1,1.14564
23,1.14564
23,1.14564
22.9,1.14464
23,1.14564
23.2,1.14564
23,1.14564
23.2,1.14464
23,1.14564
23.1,1.14564
23.4,1.14564
23.4,1.14564
23.4,1.14564
23.3,1.14564
23.6,1.14464
23.6,1.14564
23.6,1.14464
23.5,1.14464
23.6,1.14464
23.6,1.14464
23.3,1.14564
23.3,1.14564
23.4,1.14564
23.6,1.14564
23.7,1.14564
23.7,1.14564
23.7,1.14564
23.5,1.14564
23.4,1.14564
23.6,1.14564
23.6,1.14564
23.5,1.14564
23.4,1.14564
23.4,1.14464
23.5,1.14564
23.3,1.14464
23.4,1.14464
23.6,1.14464
23.6,1.14564
23.5,1.14464
23.7,1.14464
23.6,1.14464
23.7,1.14564
23.5,1.14564
23.7,1.14564
23.5,1.14664
23.5,1.14664
23.5,1.14564
23.6,1.14564
23.6,1.14664
23.6,1.14564
23.4,1.14664
23.7,1.14664
23.7,1.14564
23.6,1.14664
23.6,1.14564
23.6,1.14564
23.7,1.14564
23.6,1.14564
23.6,1.14664
23.5,1.14564
23.6,1.14664
23.7,1.14564
23.7,1.14564
23.7,1.14564
23.5,1.14564
23.5,1.14564
23.7,1.14564
23.6,1.14564
23.7,1.14564
24.2,1.14664
23.9,1.14664
24,1.14564
24,1.14564
23.9,1.14664
23.6,1.14564
24,1.14564
24.3,1.14664
24.1,1.14664
24,1.14564
24,1.14664
23.9,1.14564
24.2,1.14564
24.7,1.14564
24.7,1.14564
24.4,1.14564
24.3,1.14664
24.3,1.14664
24.2,1.14664
24.1,1.14664
24.2,1.14664
24.1,1.14664
23.9,1.14664
23.9,1.14664
24.3,1.14564
24.3,1.14564
24.3,1.14564
24.3,1.14664
24.1,1.15764
23.3,1.19664
23.8,1.23564
23.7,1.24964
23.8,1.24564
23.9,1.24164
24.2,1.23464
24.2,1.23064
24.3,1.22564
24.2,1.22164
24.5,1.22164
24.6,1.22164
24.2,1.22164
24.2,1.22164
24.1,1.22264
24,1.22264
24.2,1.22364
24.2,1.22264
24.3,1.22364
24.3,1.22264
24.2,1.22264
24.2,1.22164
24.2,1.22164
24.3,1.22264
24.2,1.22164
24.2,1.22064
24.3,1.22164
24.2,1.22064
24,1.22164
24,1.22164
24.3,1.22264
24.3,1.22264
24.3,1.22164
24.6,1.22064
24.4,1.22064
24.4,1.22064
24.5,1.22064
24.4,1.22064
24.1,1.22164
24.3,1.22164
24.1,1.22264
24.1,1.22364
24.1,1.22264
24,1.22164
24,1.22264
23.9,1.22164
24.1,1.22164
24.2,1.22064
24.7,1.22064
24.9,1.22064
24.7,1.22064
24.6,1.22164
24.7,1.22164
24.7,1.22264
24.8,1.22264
24.8,1.22264
24.7,1.22264
24.8,1.22264
24.9,1.22264
24.9,1.22164
24.9,1.22264
24.7,1.22164
24.8,1.22164
24.8,1.22164
24.7,1.22064
24.7,1.22164
24.7,1.22164
24.8,1.22164
24.8,1.22164
24.7,1.22264
24.8,1.22164
24.6,1.22164
24.7,1.22264
24.7,1.22264
24.7,1.22164
24.7,1.22164
24.5,1.22164
24.8,1.22164
24.8,1.22064
24.8,1.22064
24.7,1.21964
24.8,1.22064
24.7,1.22064
24.8,1.22064
24.8,1.22164
24.7,1.22064
24.8,1.22164
24.7,1.22264
24.7,1.22164
25.1,1.22264
25.4,1.22264
25.3,1.22164
25.4,1.22164
25.4,1.22064
25.3,1.22264
25.4,1.22064
25.1,1.22264
24.9,1.22164
25,1.22364
25.3,1.22264
25.2,1.22264
25.3,1.22164
25.2,1.22264
25.3,1.22164
25.4,1.22064
25.4,1.22064
25.3,1.22064
25.2,1.22164
25.3,1.22164
25.4,1.22164
25.5,1.22164
25.2,1.22164
24.8,1.22164
25.3,1.22064
25.3,1.22064
25.3,1.21964
25.4,1.22164
25.5,1.22164
25.4,1.22064
25.3,1.22064
25.4,1.22164
25.1,1.22164
25.2,1.22264
25.3,1.22264
25.3,1.22264
25.4,1.22164
25.4,1.22164
25.4,1.22264
25.3,1.22164
25.3,1.22164
25.3,1.22164
25.3,1.22164
25.4,1.22064
25.4,1.22164
25.2,1.22164
25.4,1.22164
25.5,1.22264
25.3,1.22264
25.4,1.22264
25.3,1.22264
25.4,1.22264
25.4,1.22064
25.4,1.22064
25.5,1.22064
25.3,1.22264
25.4,1.22164
25.3,1.22364
25.3,1.22364
25.4,1.22364
25.3,1.22364
25.2,1.22264
25.4,1.22664
25.3,1.25864
25.7,1.29964
25.8,1.32264
25.8,1.32464
25.9,1.31764
26.2,1.31264
26,1.30864
25.9,1.30164
26,1.29864
25.9,1.29664
25.7,1.29664
25.9,1.29664
25.9,1.29764
25.8,1.29664
25.8,1.29764
26.1,1.29764
25.6,1.29664
25.9,1.29764
25.8,1.29764
25.8,1.29664
26,1.29664
26.1,1.29664
26.3,1.29564
25.9,1.29564
25.9,1.29764
26,1.29664
26.2,1.29764
26.1,1.29664
26.4,1.29664
26,1.29664
25.9,1.29564
25.9,1.29664
25.9,1.29564
25.9,1.29664
25.9,1.29564
26,1.29564
25.5,1.29564
25.9,1.29664
25.9,1.29564
25.8,1.29664
25.8,1.29664
25.8,1.29764
26,1.29664
25.9,1.29664
25.9,1.29664
25.9,1.29564
25.4,1.29564
25.6,1.29564
25.8,1.29464
26,1.29564
25.9,1.29564
26,1.29664
26,1.29764
26.1,1.29764
26,1.29664
25.7,1.29764
25.8,1.29764
26,1.29764
26,1.29764
26,1.29664
26.1,1.29564
26.3,1.29564
26.5,1.29664
26.5,1.29664
26.5,1.29764
26.5,1.29864
26.6,1.29764
26.6,1.29764
26.5,1.29664
26.5,1.29664
26.4,1.29664
25.9,1.29664
26.2,1.29564
26.3,1.29464
26.4,1.29564
26.4,1.29564
26.3,1.29564
26.4,1.29664
26.6,1.29664
26.4,1.29764
26.6,1.29864
26.5,1.29864
26.5,1.29764
26.5,1.29864
26.4,1.29764
26.2,1.29664
26.3,1.29664
26.5,1.29564
26.5,1.29564
26.5,1.29664
26.6,1.29564
26.9,1.29664
26.7,1.29564
26.6,1.29664
26.7,1.29664
26.8,1.29564
26.7,1.29664
27,1.29664
27,1.29664
26.7,1.29664
26.6,1.29564
26.7,1.29564
26.7,1.29564
26.8,1.29564
26.8,1.29564
26.5,1.29564
26.5,1.29664
26.3,1.29564
26.3,1.29664
26.5,1.29664
26.5,1.29664
26.6,1.29664
26.3,1.29764
26.4,1.29764
26.5,1.29764
26.4,1.29764
26.4,1.29664
26.5,1.29664
26.5,1.29664
26.6,1.29564
26.5,1.29564
26.5,1.29664
26.5,1.29664
26.6,1.29664
26.5,1.29764
26.6,1.29564
26.5,1.29764
26.5,1.29664
26.6,1.29664
26.5,1.29664
26.4,1.29764
26.5,1.29664
26.6,1.29664
26.7,1.29564
26.7,1.29564
26.6,1.29564
27,1.29564
26.8,1.29564
26.4,1.29564
26.5,1.29564
26.6,1.29564
26.9,1.29564
27.1,1.29564
27,1.29664
27,1.29664
27,1.29664
26.7,1.29664
26.6,1.29664
26.9,1.29664
27.1,1.29564
27.2,1.29564
27.1,1.30864
27,1.34864
27.1,1.38564
27.1,1.39764
26.9,1.39364
27.1,1.38764
27,1.38264
27.1,1.37764
27.2,1.37264
27,1.36964
27.6,1.36964
27.4,1.37164
27.3,1.37164
27.5,1.37264
27.7,1.37164
27.6,1.37164
27.2,1.37164
27.6,1.37064
27.8,1.37064
27.6,1.37064
27.5,1.37164
27.7,1.37164
27.6,1.37264
27.6,1.37264
27.6,1.37364
27.6,1.37264
27.6,1.37264
27.6,1.37264
27.5,1.37264
27.6,1.37264
27.6,1.37264
27.6,1.37164
27.7,1.37264
27.5,1.37164
27.5,1.37164
27.6,1.37164
27.6,1.37064
27.6,1.37164
27.5,1.37164
27.6,1.37164
27.6,1.37164
27.7,1.37164
27.6,1.37064
27.8,1.37064
27.6,1.37064
27.8,1.37164
27.6,1.37164
27.6,1.37164
27.5,1.37164
27.6,1.37264
27.7,1.37164
27.7,1.37264
27.6,1.37264
27.7,1.37164
27.8,1.37264
27.9,1.37164
27.8,1.37164
27.7,1.37264
27.6,1.37264
27.6,1.37264
27.8,1.37264
27.7,1.37264
27.7,1.37164
27.5,1.37164
27.6,1.37264
27.9,1.37164
27.9,1.37164
27.6,1.37164
27.5,1.37164
27.8,1.37164
27.6,1.37164
27.7,1.37164
27.6,1.37164
27.6,1.37164
27.6,1.37164
28.1,1.37164
28.1,1.37164
28.3,1.37164
28.3,1.37164
28.1,1.37164
28.2,1.37164
28.1,1.37164
28.7,1.37164
28.7,1.37264
28.9,1.37264
28.9,1.37164
28.8,1.37164
28.9,1.37164
28.7,1.37264
28.7,1.37264
28.9,1.37264
28.9,1.37264
28.8,1.37264
28.8,1.37264
28.8,1.37264
28.6,1.37164
28.7,1.37164
28.8,1.37164
28.8,1.37064
28.7,1.37164
28.8,1.37164
28.7,1.37164
28.7,1.37164
28.8,1.37164
28.9,1.37264
28.9,1.37364
29.1,1.37364
29.3,1.37364
29.4,1.37364
29.3,1.37364
29.1,1.37264
29,1.37164
28.7,1.37164
28.8,1.37264
28.8,1.37264
28.9,1.37364
28.7,1.37364
28.9,1.37364
28.9,1.37364
29.4,1.37364
29.5,1.37264
29.3,1.37164
29.3,1.37264
29.3,1.37164
29.4,1.37164
29.4,1.37164
29.3,1.37164
29.3,1.37164
29.1,1.37064
28.7,1.37164
28.9,1.37164
29.3,1.37264
29.4,1.37264
29.4,1.37364
29.4,1.37364
29.6,1.37364
30,1.37364
29.6,1.37364
29.4,1.37264
29.3,1.37364
29.4,1.37264
29.4,1.37364
29.5,1.37264
29.6,1.37264
29.7,1.37264
29.9,1.37364
29.8,1.37264
30,1.37364
29.9,1.37264
29.8,1.37264
29.8,1.37264
29.6,1.37364
29.9,1.39864
29.4,1.44364
29.7,1.47164
30,1.47564
29.9,1.47064
29.8,1.46464
29.9,1.45864
29.8,1.45464
30.1,1.44864
30.3,1.44764
30.1,1.44664
30.1,1.44664
30,1.44764
29.8,1.44764
30.2,1.44764
30.3,1.44764
30.3,1.44764
30.4,1.44764
30.3,1.44764
29.9,1.44664
30,1.44664
30,1.44764
30.1,1.44764
29.9,1.44764
30,1.44664
30.3,1.44664
30.1,1.44664
30.1,1.44564
30.3,1.44564
30.4,1.44664
30.5,1.44664
31,1.44764
31.2,1.44864
31,1.44764
31.1,1.44764
31,1.44764
30.8,1.44764
30.9,1.44764
31.1,1.44664
31,1.44764
30.8,1.44764
31,1.44664
31,1.44764
31.1,1.44664
31,1.44664
31,1.44664
31.1,1.44664
31.1,1.44764
30.9,1.44664
31.1,1.44664
31.1,1.44564
31,1.44664
30.9,1.44764
31,1.44764
31,1.44864
30.9,1.44764
30.9,1.44864
31,1.44764
31,1.44764
31.1,1.44664
31.1,1.44664
31.1,1.44564
31.2,1.44664
31.6,1.44764
31.5,1.44764
31.4,1.44664
31.3,1.44764
31.6,1.44764
31.4,1.44664
31.4,1.44764
31.4,1.44664
31.6,1.44764
31.7,1.44764
31.6,1.44764
31.3,1.44764
31.3,1.44664
31.3,1.44764
31.4,1.44664
31.1,1.44764
31,1.44764
31.1,1.44864
31.1,1.44764
31.1,1.44764
31.1,1.44764
31,1.44764
31,1.44764
31,1.44664
31.1,1.44664
31.1,1.44664
31.1,1.44764
31.5,1.44664
31.5,1.44764
31.7,1.44564
31.4,1.44664
31.4,1.44664
31,1.44764
31.1,1.44664
31.3,1.44864
31.4,1.44864
31.5,1.44864
31.5,1.44964
31.6,1.44864
31.6,1.44864
31.3,1.44764
31.2,1.44764
31.3,1.44664
31.2,1.44564
31.2,1.44664
31.4,1.44664
31.6,1.44664
31.6,1.44564
31.5,1.44664
31.6,1.44664
31.6,1.44764
31.6,1.44764
31.9,1.44664
32.1,1.44664
31.8,1.44764
31.6,1.44664
31.7,1.44764
32.1,1.44664
32,1.44664
32.3,1.44764
32.1,1.44764
32.2,1.44764
32.2,1.44664
32.2,1.44764
32.1,1.44764
31.8,1.44664
32,1.44764
32.1,1.44764
32.1,1.44764
32.2,1.44764
32.2,1.44764
32.3,1.44764
32.2,1.44764
32.1,1.44764
32.2,1.44764
32.2,1.44764
32,1.44764
31.8,1.44764
32.2,1.44664
32,1.44764
32.2,1.44764
32.1,1.44764
32.1,1.44764
32.3,1.44764
32.3,1.44764
32.2,1.44764
32.1,1.44764
32.2,1.44764
32.2,1.46264
32.5,1.50564
32.6,1.54064
32.4,1.55364
32.9,1.54864
32.8,1.54264
32.9,1.53664
32.8,1.53064
32.7,1.52564
32.7,1.52364
32.7,1.52264
32.8,1.52264
32.7,1.52264
32.7,1.52264
32.7,1.52264
32.5,1.52364
32.7,1.52364
32.8,1.52364
32.7,1.52364
32.8,1.52364
32.6,1.52364
32.6,1.52264
32.7,1.52364
33,1.52264
33.2,1.52264
33.4,1.52164
33.3,1.52264
33.3,1.52264
33.4,1.52364
33.1,1.52364
33.1,1.52364
33.3,1.52364
33.3,1.52364
33.2,1.52264
33.3,1.52264
33.4,1.52164
33.2,1.52164
33.1,1.52164
33.3,1.52264
33.3,1.52264
33.7,1.52264
33.9,1.52264
33.9,1.52264
33.9,1.52364
33.9,1.52364
33.8,1.52264
33.4,1.52264
33.5,1.52264
33.4,1.52164
33.3,1.52164
33.6,1.52264
33.8,1.52164
33.7,1.52264
34.1,1.52264
34,1.52264
33.8,1.52264
33.9,1.52364
33.9,1.52364
33.7,1.52364
33.9,1.52464
33.9,1.52364
33.9,1.52364
33.9,1.52364
33.9,1.52364
33.9,1.52364
34,1.52264
33.9,1.52264
34.1,1.52264
34.4,1.52264
34.6,1.52264
34.5,1.52264
34.5,1.52264
34.5,1.52164
34.5,1.52264
34.6,1.52264
34.5,1.52264
34.6,1.52264
34.4,1.52264
34.2,1.52364
34.6,1.52264
34.3,1.52264
34.3,1.52464
34,1.52464
34.4,1.52464
33.8,1.52464
33.9,1.52364
34.1,1.52264
34.6,1.52264
34.4,1.52364
34.2,1.52364
34,1.52364
34.3,1.52364
34.5,1.52464
34.4,1.52464
34.6,1.52464
34.5,1.52464
34.8,1.52464
34.4,1.52564
34.5,1.52464
34.7,1.52464
35,1.52564
35.1,1.52464
34.7,1.52464
34.5,1.52464
34.9,1.52464
34.9,1.52464
34.9,1.52464
34.7,1.52364
34.8,1.52464
35,1.52464
34.5,1.52464
34.6,1.52364
34.5,1.52364
34.5,1.52464
34.4,1.52464
34.4,1.52364
